topics_description,topics_name,topics_url
NativeScript is a JavaScript-native mobile framework.,NativeScript,http://www.github.com//topics/nativescript
"Nim is a statically typed, compiled, garbage-collected systems programming language.",Nim,http://www.github.com//topics/nim
Natural language processing (NLP) is the study of how computers and humans interact.,Natural language processing,http://www.github.com//topics/nlp
Node.js is a tool for executing JavaScript in a variety of environments.,Node.js,http://www.github.com//topics/nodejs
A NoSQL database refers to a database whose storage format is modeled differently from relational databases.,NoSQL,http://www.github.com//topics/nosql
npm is a package manager for JavaScript included with Node.js.,npm,http://www.github.com//topics/npm
"Objective-C is general purpose, object-oriented programming language used for macOS and iOS operating systems.",Objective-C,http://www.github.com//topics/objective-c
OpenGL is a software interface that allows a programmer to communicate with graphics hardware.,OpenGL,http://www.github.com//topics/opengl
An operating system is a program that manages a computer's programs and applications.,Operating system,http://www.github.com//topics/operating-system
Peer-to-Peer applications are decentralized or distributed.,P2P,http://www.github.com//topics/p2p
A package manager is a set of tools that automates and manages computer software.,Package manager,http://www.github.com//topics/package-manager
Parsing is the process of analyzing a string of symbols conforming to the rules of a formal grammar.,Parsing,http://www.github.com//topics/parsing
Python is a dynamically typed programming language.,Python,http://www.github.com//topics/python
"Qt, pronounced ""cute"", is a cross-platform application development framework.",Qt,http://www.github.com//topics/qt
R is a free programming language and software environment for statistical computing and graphics.,R,http://www.github.com//topics/r
Ruby on Rails (Rails) is a web application framework written in Ruby.,Rails,http://www.github.com//topics/rails
The Raspberry Pi is a popular single-board computer.,Raspberry Pi,http://www.github.com//topics/raspberry-pi
Ratchet is a set of libraries to handle WebSockets asynchronously in PHP.,Ratchet,http://www.github.com//topics/ratchet
React is an open source JavaScript library used for designing user interfaces.,React,http://www.github.com//topics/react
React Native is a JavaScript mobile framework developed by Facebook.,React Native,http://www.github.com//topics/react-native
"ReactiveUI is a composable, cross-platform model-view-viewmodel framework for all .NET platforms.",ReactiveUI,http://www.github.com//topics/reactiveui
Redux is a predictable state container for JavaScript apps.,Redux,http://www.github.com//topics/redux
A representational state transfer (REST) API is a way to provide compatibility between computer systems on the internet.,REST API,http://www.github.com//topics/rest-api
Perl is a highly capable and feature-rich programming language.,Perl,http://www.github.com//topics/perl
Ruby is a scripting language designed for simplified object-oriented programming.,Ruby,http://www.github.com//topics/ruby
Rust is a systems programming language created by Mozilla.,Rust,http://www.github.com//topics/rust
Sass is a stable extension to classic CSS.,Sass,http://www.github.com//topics/sass
Scala is an object-oriented programming language.,Scala,http://www.github.com//topics/scala
scikit-learn is a Python module for machine learning.,scikit-learn,http://www.github.com//topics/scikit-learn
"Software-defined networking (SDN) is an architecture for programmable, centrally managed networks.",Software-defined networking,http://www.github.com//topics/sdn
"Cybersecurity is the protection of computer hardware, software, and data from theft, damage, and malicious intent.",Security,http://www.github.com//topics/security
A server is a program made to process requests and deliver data to clients.,Server,http://www.github.com//topics/server
Serverless architecture refers to apps that depend on third-party services or custom code.,Serverless,http://www.github.com//topics/serverless
"A shell is a command-line tool, designed to be run by the Unix shell.",Shell,http://www.github.com//topics/shell
"Sketch is a vector graphics editor for Apple's macOS, used primarily for user interface and icon design.",Sketch,http://www.github.com//topics/sketch
